ردیف,نام,نام خانوادگی,کد ملی,نوع مقصد,شماره حساب یا شماره کارت,مبلغ واریزی (ریال),شماره پیگیری,تاریخ پرداخت,توضیحات
18,الهام,طاهری,3817640439,شماره کارت,6104337498323144,5000000,TRX140500018,2026-06-01 00:00:00,داده آزمایشی ساختگی برای تست تحلیل فایل بانکی
19,نرگس,رحیمی,5460330106,شماره کارت,5022297024036340,80000000,TRX140500019,2026-06-05 00:00:00,داده آزمایشی ساختگی برای تست تحلیل فایل بانکی
20,محمد,محمدی,6512659201,شماره حساب,957406959353711230,50000000,TRX140500020,2026-06-23 00:00:00,داده آزمایشی ساختگی برای تست تحلیل فایل بانکی
21,سینا,جعفری,4299158563,شماره کارت,5022292431941257,12000000,TRX140500021,2026-06-12 00:00:00,داده آزمایشی ساختگی برای تست تحلیل فایل بانکی
22,لیلا,قاسمی,6708866064,شماره حساب,1725923464663536,50000000,TRX140500022,2026-06-16 00:00:00,داده آزمایشی ساختگی برای تست تحلیل فایل بانکی
23,سعید,اسماعیلی,8019410864,شماره کارت,6277601715958870,7500000,TRX140500023,2026-06-17 00:00:00,داده آزمایشی ساختگی برای تست تحلیل فایل بانکی
24,الهام,ملکی,3182231529,شماره کارت,6393461793811551,60000000,TRX140500024,2026-06-05 00:00:00,داده آزمایشی ساختگی برای تست تحلیل فایل بانکی
25,مریم,احمدی,2235782183,شماره کارت,6104335821462878,75000000,TRX140500025,2026-06-25 00:00:00,داده آزمایشی ساختگی برای تست تحلیل فایل بانکی
26,لیلا,فلاحی,9025289878,شماره کارت,6276483773960309,100000000,TRX140500026,2026-06-25 00:00:00,داده آزمایشی ساختگی برای تست تحلیل فایل بانکی
27,فاطمه,فلاحی,1108177530,شماره کارت,6037700935781970,12000000,TRX140500027,2026-06-19 00:00:00,داده آزمایشی ساختگی برای تست تحلیل فایل بانکی
28,فاطمه,عباسی,0806825065,شماره کارت,6277602607809478,35000000,TRX140500028,2026-06-18 00:00:00,داده آزمایشی ساختگی برای تست تحلیل فایل بانکی
29,سارا,عباسی,5480109901,شماره کارت,6037995633350165,7500000,TRX140500029,2026-06-01 00:00:00,داده آزمایشی ساختگی برای تست تحلیل فایل بانکی
30,سارا,باقری,9405299591,شماره حساب,13684231416678,60000000,TRX140500030,2026-06-03 00:00:00,داده آزمایشی ساختگی برای تست تحلیل فایل بانکی
31,علی,رضایی,9251878099,شماره کارت,5022295055730575,15000000,TRX140500031,2026-06-07 00:00:00,داده آزمایشی ساختگی برای تست تحلیل فایل بانکی
32,زهرا,ابراهیمی,1377531929,شماره کارت,5892103763102912,35000000,TRX140500032,2026-06-27 00:00:00,داده آزمایشی ساختگی برای تست تحلیل فایل بانکی
33,یاسر,ابراهیمی,1154601390,شماره حساب,36354808818460,20000000,TRX140500033,2026-06-15 00:00:00,داده آزمایشی ساختگی برای تست تحلیل فایل بانکی
34,روناک,قاسمی,6475117684,شماره کارت,5022290573853413,35000000,TRX140500034,2026-06-21 00:00:00,داده آزمایشی ساختگی برای تست تحلیل فایل بانکی
35,نوید,رضایی,9244583682,شماره کارت,6104331437383467,7500000,TRX140500035,2026-06-15 00:00:00,داده آزمایشی ساختگی برای تست تحلیل فایل بانکی
36,فرهاد,ابراهیمی,8770244413,شماره کارت,6037996285762343,7500000,TRX140500036,2026-06-10 00:00:00,داده آزمایشی ساختگی برای تست تحلیل فایل بانکی
37,سینا,کریمی,2472658605,شماره کارت,6279611001868954,25000000,TRX140500037,2026-06-08 00:00:00,داده آزمایشی ساختگی برای تست تحلیل فایل بانکی
38,لیلا,یوسفی,4743422442,شماره کارت,6104339539761563,35000000,TRX140500038,2026-06-16 00:00:00,داده آزمایشی ساختگی برای تست تحلیل فایل بانکی
39,لیلا,زارعی,6070602961,شماره کارت,6037703495427794,100000000,TRX140500039,2026-06-23 00:00:00,داده آزمایشی ساختگی برای تست تحلیل فایل بانکی
40,علی,باقری,4723879684,شماره کارت,6104339279286284,30000000,TRX140500040,2026-06-26 00:00:00,داده آزمایشی ساختگی برای تست تحلیل فایل بانکی
41,سارا,بهرامی,6855643876,شماره کارت,6277608706796458,80000000,TRX140500041,2026-06-10 00:00:00,داده آزمایشی ساختگی برای تست تحلیل فایل بانکی
42,زهرا,رحیمی,1903472652,شماره حساب,2464179895602835,100000000,TRX140500042,2026-06-17 00:00:00,داده آزمایشی ساختگی برای تست تحلیل فایل بانکی
43,فرهاد,سلیمانی,2258188504,شماره کارت,6279619013458326,5000000,TRX140500043,2026-06-28 00:00:00,داده آزمایشی ساختگی برای تست تحلیل فایل بانکی
44,سارا,کمالی,4210518719,شماره کارت,6277609788006246,30000000,TRX140500044,2026-06-10 00:00:00,داده آزمایشی ساختگی برای تست تحلیل فایل بانکی
45,سمیه,کاظمی,8867868969,شماره کارت,6037704663336833,60000000,TRX140500045,2026-06-04 00:00:00,داده آزمایشی ساختگی برای تست تحلیل فایل بانکی
46,امیر,عباسی,1169929702,شماره حساب,7625717796226232,15000000,TRX140500046,2026-06-25 00:00:00,داده آزمایشی ساختگی برای تست تحلیل فایل بانکی
47,دانیال,صادقی,1486334296,شماره کارت,6219867163607068,50000000,TRX140500047,2026-06-04 00:00:00,داده آزمایشی ساختگی برای تست تحلیل فایل بانکی
48,محمد,بهرامی,8011576021,شماره کارت,6219860110369155,12000000,TRX140500048,2026-06-09 00:00:00,داده آزمایشی ساختگی برای تست تحلیل فایل بانکی
49,محمد,بهرامی,9002508141,شماره کارت,6037701967623916,25000000,TRX140500049,2026-06-18 00:00:00,داده آزمایشی ساختگی برای تست تحلیل فایل بانکی
50,سینا,ملکی,2196495891,شماره حساب,1132112355097104,60000000,TRX140500050,2026-06-04 00:00:00,داده آزمایشی ساختگی برای تست تحلیل فایل بانکی
51,پرهام,ابراهیمی,6763118643,شماره حساب,70772167661548,35000000,TRX140500051,2026-06-19 00:00:00,داده آزمایشی ساختگی برای تست تحلیل فایل بانکی
52,مینا,رحیمی,0916750231,شماره حساب,42913043592801,12000000,TRX140500052,2026-06-02 00:00:00,داده آزمایشی ساختگی برای تست تحلیل فایل بانکی
53,مینا,فلاحی,9615432148,شماره کارت,5022297291880768,50000000,TRX140500053,2026-06-10 00:00:00,داده آزمایشی ساختگی برای تست تحلیل فایل بانکی
54,سعید,کریمی,3866659652,شماره کارت,6393463887083659,20000000,TRX140500054,2026-06-15 00:00:00,داده آزمایشی ساختگی برای تست تحلیل فایل بانکی
55,مینا,باقری,9529289448,شماره حساب,08831652158340,25000000,TRX140500055,2026-06-24 00:00:00,داده آزمایشی ساختگی برای تست تحلیل فایل بانکی
56,روناک,باقری,1932740201,شماره کارت,5892108460824973,12000000,TRX140500056,2026-06-08 00:00:00,داده آزمایشی ساختگی برای تست تحلیل فایل بانکی
57,سعید,فلاحی,3569758397,شماره کارت,5022293665294934,75000000,TRX140500057,2026-06-24 00:00:00,داده آزمایشی ساختگی برای تست تحلیل فایل بانکی
58,محمد,سلیمانی,9154052701,شماره کارت,6219860813594265,30000000,TRX140500058,2026-06-24 00:00:00,داده آزمایشی ساختگی برای تست تحلیل فایل بانکی
59,آرمان,صادقی,7362675682,شماره کارت,6276487618890282,75000000,TRX140500059,2026-06-16 00:00:00,داده آزمایشی ساختگی برای تست تحلیل فایل بانکی
60,نوید,اکبری,8583709394,شماره کارت,6279618658952692,15000000,TRX140500060,2026-06-19 00:00:00,داده آزمایشی ساختگی برای تست تحلیل فایل بانکی
61,کیان,صادقی,5086355117,شماره کارت,6037705978261277,12000000,TRX140500061,2026-06-26 00:00:00,داده آزمایشی ساختگی برای تست تحلیل فایل بانکی
62,فاطمه,نجفی,2156275701,شماره کارت,6393467797607424,60000000,TRX140500062,2026-06-01 00:00:00,داده آزمایشی ساختگی برای تست تحلیل فایل بانکی
63,مهدی,اکبری,0971981655,شماره حساب,039471811317603313,25000000,TRX140500063,2026-06-12 00:00:00,داده آزمایشی ساختگی برای تست تحلیل فایل بانکی
64,مهدی,حاتمی,7459302090,شماره کارت,6037705802484830,60000000,TRX140500064,2026-06-22 00:00:00,داده آزمایشی ساختگی برای تست تحلیل فایل بانکی
65,نوید,کاظمی,8578986911,شماره کارت,6279613901111600,20000000,TRX140500065,2026-06-03 00:00:00,داده آزمایشی ساختگی برای تست تحلیل فایل بانکی
66,پرهام,معصومی,1118215011,شماره کارت,5892100980768178,30000000,TRX140500066,2026-06-11 00:00:00,داده آزمایشی ساختگی برای تست تحلیل فایل بانکی
67,کیان,رحیمی,5507740224,شماره کارت,6104339289370524,25000000,TRX140500067,2026-06-12 00:00:00,داده آزمایشی ساختگی برای تست تحلیل فایل بانکی
68,نوید,قاسمی,8186890920,شماره حساب,5880962767831263,100000000,TRX140500068,2026-06-23 00:00:00,داده آزمایشی ساختگی برای تست تحلیل فایل بانکی
69,آرمان,موسوی,9413925569,شماره حساب,6636189400024315,50000000,TRX140500069,2026-06-17 00:00:00,داده آزمایشی ساختگی برای تست تحلیل فایل بانکی
70,سمیه,عباسی,2561148459,شماره کارت,6393469369320048,80000000,TRX140500070,2026-06-21 00:00:00,داده آزمایشی ساختگی برای تست تحلیل فایل بانکی
71,حامد,رضایی,7013673269,شماره کارت,5892106512549226,50000000,TRX140500071,2026-06-23 00:00:00,داده آزمایشی ساختگی برای تست تحلیل فایل بانکی
72,شادی,کریمی,5040376979,شماره کارت,5022292591369158,25000000,TRX140500072,2026-06-01 00:00:00,داده آزمایشی ساختگی برای تست تحلیل فایل بانکی
73,علی,حسینی,5105759060,شماره کارت,6279611362943776,10000000,TRX140500073,2026-06-27 00:00:00,داده آزمایشی ساختگی برای تست تحلیل فایل بانکی
74,رضا,فلاحی,9259612144,شماره کارت,6219863680752966,5000000,TRX140500074,2026-06-23 00:00:00,داده آزمایشی ساختگی برای تست تحلیل فایل بانکی
75,امیر,کمالی,6621073178,شماره حساب,018583170349820245,60000000,TRX140500075,2026-06-25 00:00:00,داده آزمایشی ساختگی برای تست تحلیل فایل بانکی
76,محمد,محمدی,6638788213,شماره کارت,5022293025250907,40000000,TRX140500076,2026-06-01 00:00:00,داده آزمایشی ساختگی برای تست تحلیل فایل بانکی
77,مهدی,نوری,3669594248,شماره کارت,6037708260467792,60000000,TRX140500077,2026-06-05 00:00:00,داده آزمایشی ساختگی برای تست تحلیل فایل بانکی
78,سعید,احمدی,2472594283,شماره کارت,5022295938541348,20000000,TRX140500078,2026-06-09 00:00:00,داده آزمایشی ساختگی برای تست تحلیل فایل بانکی
79,نوید,زارعی,4606380438,شماره کارت,6276485736752434,80000000,TRX140500079,2026-06-22 00:00:00,داده آزمایشی ساختگی برای تست تحلیل فایل بانکی
80,دانیال,حاتمی,4476615694,شماره حساب,0169649090078541,7500000,TRX140500080,2026-06-07 00:00:00,داده آزمایشی ساختگی برای تست تحلیل فایل بانکی
81,فرهاد,قاسمی,8280807268,شماره کارت,5892107439890073,60000000,TRX140500081,2026-06-14 00:00:00,داده آزمایشی ساختگی برای تست تحلیل فایل بانکی
82,آرمان,نجفی,3453730801,شماره کارت,6277601082489012,100000000,TRX140500082,2026-06-15 00:00:00,داده آزمایشی ساختگی برای تست تحلیل فایل بانکی
83,آرمان,کریمی,0243492642,شماره کارت,6037701607911747,20000000,TRX140500083,2026-06-02 00:00:00,داده آزمایشی ساختگی برای تست تحلیل فایل بانکی
84,سارا,مرادی,6055726653,شماره کارت,6279610429116335,20000000,TRX140500084,2026-06-26 00:00:00,داده آزمایشی ساختگی برای تست تحلیل فایل بانکی
85,روناک,موسوی,0107883708,شماره کارت,5892105746684619,50000000,TRX140500085,2026-06-08 00:00:00,داده آزمایشی ساختگی برای تست تحلیل فایل بانکی
86,حسین,کریمی,1094760315,شماره کارت,6277608228610096,100000000,TRX140500086,2026-06-01 00:00:00,داده آزمایشی ساختگی برای تست تحلیل فایل بانکی
87,مهدی,محمدی,3235960910,شماره کارت,6037990108055852,20000000,TRX140500087,2026-06-14 00:00:00,داده آزمایشی ساختگی برای تست تحلیل فایل بانکی
88,سارا,ابراهیمی,6037344140,شماره کارت,6219861891069774,35000000,TRX140500088,2026-06-12 00:00:00,داده آزمایشی ساختگی برای تست تحلیل فایل بانکی
89,کیان,یوسفی,8172284470,شماره کارت,5892103473845388,100000000,TRX140500089,2026-06-25 00:00:00,داده آزمایشی ساختگی برای تست تحلیل فایل بانکی
90,پرهام,نجفی,4517698645,شماره کارت,6279619324174133,25000000,TRX140500090,2026-06-24 00:00:00,داده آزمایشی ساختگی برای تست تحلیل فایل بانکی
91,مریم,جعفری,2441679521,شماره حساب,41145638055791,40000000,TRX140500091,2026-06-26 00:00:00,داده آزمایشی ساختگی برای تست تحلیل فایل بانکی
92,الهام,فلاحی,7209657411,شماره حساب,58627255174460,7500000,TRX140500092,2026-06-22 00:00:00,داده آزمایشی ساختگی برای تست تحلیل فایل بانکی
93,کیان,احمدی,1318574226,شماره کارت,5892100421481837,80000000,TRX140500093,2026-06-05 00:00:00,داده آزمایشی ساختگی برای تست تحلیل فایل بانکی
94,کیان,فلاحی,2719074810,شماره کارت,6393469426312897,40000000,TRX140500094,2026-06-08 00:00:00,داده آزمایشی ساختگی برای تست تحلیل فایل بانکی
95,روناک,مرادی,7411903760,شماره حساب,043976353440202501,25000000,TRX140500095,2026-06-01 00:00:00,داده آزمایشی ساختگی برای تست تحلیل فایل بانکی
96,سینا,بهرامی,7254022649,شماره کارت,6276485590105778,7500000,TRX140500096,2026-06-24 00:00:00,داده آزمایشی ساختگی برای تست تحلیل فایل بانکی
97,فرهاد,کاظمی,5830423596,شماره کارت,6276486567594663,5000000,TRX140500097,2026-06-19 00:00:00,داده آزمایشی ساختگی برای تست تحلیل فایل بانکی
98,زهرا,باقری,4881793977,شماره کارت,6037996391322099,35000000,TRX140500098,2026-06-08 00:00:00,داده آزمایشی ساختگی برای تست تحلیل فایل بانکی
99,یگانه,اسماعیلی,4723951989,شماره کارت,5892100168677472,10000000,TRX140500099,2026-06-06 00:00:00,داده آزمایشی ساختگی برای تست تحلیل فایل بانکی
100,آرمان,فلاحی,4302356715,شماره کارت,6393467370864350,80000000,TRX140500100,2026-06-11 00:00:00,داده آزمایشی ساختگی برای تست تحلیل فایل بانکی
101,حسین,نوری,9571668974,شماره کارت,6393462679141717,50000000,TRX140500101,2026-06-18 00:00:00,داده آزمایشی ساختگی برای تست تحلیل فایل بانکی
102,آرمان,کمالی,7461007610,شماره کارت,6279616827637129,5000000,TRX140500102,2026-06-13 00:00:00,داده آزمایشی ساختگی برای تست تحلیل فایل بانکی
103,سمیه,احمدی,2654436659,شماره حساب,042325024026721419,30000000,TRX140500103,2026-06-24 00:00:00,داده آزمایشی ساختگی برای تست تحلیل فایل بانکی
104,بهاره,رحیمی,0576162310,شماره کارت,6277609512323065,15000000,TRX140500104,2026-06-24 00:00:00,داده آزمایشی ساختگی برای تست تحلیل فایل بانکی
105,لیلا,ملکی,5931587861,شماره کارت,6277601650696097,10000000,TRX140500105,2026-06-18 00:00:00,داده آزمایشی ساختگی برای تست تحلیل فایل بانکی
106,سمیه,محمدی,0454401922,شماره کارت,6393462251079731,40000000,TRX140500106,2026-06-01 00:00:00,داده آزمایشی ساختگی برای تست تحلیل فایل بانکی
107,سارا,رضایی,9044144987,شماره کارت,5022297066422739,25000000,TRX140500107,2026-06-20 00:00:00,داده آزمایشی ساختگی برای تست تحلیل فایل بانکی
108,نوید,ملکی,4879057479,شماره کارت,6037992282911967,10000000,TRX140500108,2026-06-14 00:00:00,داده آزمایشی ساختگی برای تست تحلیل فایل بانکی
109,حامد,حسینی,6151000382,شماره کارت,6037701709364522,10000000,TRX140500109,2026-06-16 00:00:00,داده آزمایشی ساختگی برای تست تحلیل فایل بانکی
110,نرگس,صادقی,8395393989,شماره حساب,7701702011230116,20000000,TRX140500110,2026-06-15 00:00:00,داده آزمایشی ساختگی برای تست تحلیل فایل بانکی
111,کیان,طاهری,4723536779,شماره کارت,6037999396317296,12000000,TRX140500111,2026-06-22 00:00:00,داده آزمایشی ساختگی برای تست تحلیل فایل بانکی
112,پرهام,رحیمی,6449915803,شماره کارت,6219864471819246,20000000,TRX140500112,2026-06-05 00:00:00,داده آزمایشی ساختگی برای تست تحلیل فایل بانکی
113,بهاره,صادقی,4409927647,شماره حساب,156144218822806753,10000000,TRX140500113,2026-06-03 00:00:00,داده آزمایشی ساختگی برای تست تحلیل فایل بانکی
114,سینا,طاهری,2673510893,شماره حساب,1344777150494952,75000000,TRX140500114,2026-06-20 00:00:00,داده آزمایشی ساختگی برای تست تحلیل فایل بانکی
115,مریم,نجفی,5714999967,شماره حساب,23795984974651,10000000,TRX140500115,2026-06-07 00:00:00,داده آزمایشی ساختگی برای تست تحلیل فایل بانکی
116,مریم,محمدی,5262054536,شماره کارت,6277603278494202,5000000,TRX140500116,2026-06-07 00:00:00,داده آزمایشی ساختگی برای تست تحلیل فایل بانکی
117,علی,رضایی,6201211950,شماره کارت,6037991756935163,12000000,TRX140500117,2026-06-22 00:00:00,داده آزمایشی ساختگی برای تست تحلیل فایل بانکی
118,الهام,اسماعیلی,8187033924,شماره کارت,6037995020764333,75000000,TRX140500118,2026-06-13 00:00:00,داده آزمایشی ساختگی برای تست تحلیل فایل بانکی
119,نوید,سلیمانی,0461481359,شماره کارت,6277605971639652,30000000,TRX140500119,2026-06-05 00:00:00,داده آزمایشی ساختگی برای تست تحلیل فایل بانکی
120,دانیال,احمدی,8425275148,شماره حساب,33635795138259,30000000,TRX140500120,2026-06-23 00:00:00,داده آزمایشی ساختگی برای تست تحلیل فایل بانکی
121,شادی,فلاحی,1312455683,شماره کارت,6037990793983392,30000000,TRX140500121,2026-06-24 00:00:00,داده آزمایشی ساختگی برای تست تحلیل فایل بانکی
122,زهرا,معصومی,8330235351,شماره کارت,5892104419625389,5000000,TRX140500122,2026-06-09 00:00:00,داده آزمایشی ساختگی برای تست تحلیل فایل بانکی
123,محمد,سلیمانی,3309502791,شماره کارت,6104332500493431,60000000,TRX140500123,2026-06-12 00:00:00,داده آزمایشی ساختگی برای تست تحلیل فایل بانکی
124,حامد,عباسی,3640073657,شماره حساب,59440516985614,20000000,TRX140500124,2026-06-23 00:00:00,داده آزمایشی ساختگی برای تست تحلیل فایل بانکی
125,حسین,کمالی,3562544901,شماره کارت,6037707018613772,35000000,TRX140500125,2026-06-28 00:00:00,داده آزمایشی ساختگی برای تست تحلیل فایل بانکی
126,دانیال,سلیمانی,3191665919,شماره حساب,241746551909861826,15000000,TRX140500126,2026-06-08 00:00:00,داده آزمایشی ساختگی برای تست تحلیل فایل بانکی
127,شادی,رحیمی,6963977100,شماره کارت,6279617310245875,10000000,TRX140500127,2026-06-22 00:00:00,داده آزمایشی ساختگی برای تست تحلیل فایل بانکی
128,روناک,اسماعیلی,0895261774,شماره کارت,6104337975657139,35000000,TRX140500128,2026-06-13 00:00:00,داده آزمایشی ساختگی برای تست تحلیل فایل بانکی
129,شادی,زارعی,3900598207,شماره حساب,4862269771996148,75000000,TRX140500129,2026-06-09 00:00:00,داده آزمایشی ساختگی برای تست تحلیل فایل بانکی
130,فاطمه,اسماعیلی,6527170505,شماره کارت,6104333745498532,50000000,TRX140500130,2026-06-16 00:00:00,داده آزمایشی ساختگی برای تست تحلیل فایل بانکی
131,سعید,محمدی,0682665398,شماره کارت,6037997257912965,35000000,TRX140500131,2026-06-14 00:00:00,داده آزمایشی ساختگی برای تست تحلیل فایل بانکی
132,علی,موسوی,9918294469,شماره کارت,6219869792280242,12000000,TRX140500132,2026-06-13 00:00:00,داده آزمایشی ساختگی برای تست تحلیل فایل بانکی
133,بهاره,رحیمی,3727213175,شماره کارت,6277601071163347,20000000,TRX140500133,2026-06-23 00:00:00,داده آزمایشی ساختگی برای تست تحلیل فایل بانکی
134,مینا,ابراهیمی,2818262550,شماره کارت,6279618891851461,35000000,TRX140500134,2026-06-15 00:00:00,داده آزمایشی ساختگی برای تست تحلیل فایل بانکی
135,مینا,حسینی,6258867413,شماره کارت,6276482217243389,80000000,TRX140500135,2026-06-18 00:00:00,داده آزمایشی ساختگی برای تست تحلیل فایل بانکی
136,کیان,طاهری,2433087181,شماره کارت,6393469802519545,20000000,TRX140500136,2026-06-11 00:00:00,داده آزمایشی ساختگی برای تست تحلیل فایل بانکی
137,بهاره,کریمی,8628200861,شماره کارت,5892101805537145,5000000,TRX140500137,2026-06-03 00:00:00,داده آزمایشی ساختگی برای تست تحلیل فایل بانکی
138,لیلا,عباسی,0089775848,شماره کارت,6277601726991548,60000000,TRX140500138,2026-06-23 00:00:00,داده آزمایشی ساختگی برای تست تحلیل فایل بانکی
139,مینا,بهشتی,9845282067,شماره حساب,708913054140042874,15000000,TRX140500139,2026-06-20 00:00:00,داده آزمایشی ساختگی برای تست تحلیل فایل بانکی
140,محمد,عباسی,1181663687,شماره کارت,6277607269361494,30000000,TRX140500140,2026-06-26 00:00:00,داده آزمایشی ساختگی برای تست تحلیل فایل بانکی
141,روناک,رحیمی,2818184053,شماره حساب,87137349067328,20000000,TRX140500141,2026-06-21 00:00:00,داده آزمایشی ساختگی برای تست تحلیل فایل بانکی
142,حامد,زارعی,0256536589,شماره کارت,6393463663922518,40000000,TRX140500142,2026-06-18 00:00:00,داده آزمایشی ساختگی برای تست تحلیل فایل بانکی
143,سعید,بهرامی,5465512369,شماره کارت,5022292087105751,5000000,TRX140500143,2026-06-17 00:00:00,داده آزمایشی ساختگی برای تست تحلیل فایل بانکی
144,دانیال,بهرامی,2601743344,شماره حساب,75643334796425,25000000,TRX140500144,2026-06-27 00:00:00,داده آزمایشی ساختگی برای تست تحلیل فایل بانکی
145,حامد,صادقی,4858690709,شماره کارت,5022294273880619,100000000,TRX140500145,2026-06-27 00:00:00,داده آزمایشی ساختگی برای تست تحلیل فایل بانکی
146,فرهاد,محمدی,4064044363,شماره کارت,6219863025514907,80000000,TRX140500146,2026-06-20 00:00:00,داده آزمایشی ساختگی برای تست تحلیل فایل بانکی
147,روناک,اسماعیلی,2881063543,شماره کارت,6037704636097041,20000000,TRX140500147,2026-06-04 00:00:00,داده آزمایشی ساختگی برای تست تحلیل فایل بانکی
148,کیان,احمدی,7688870798,شماره حساب,5509802242870977,15000000,TRX140500148,2026-06-13 00:00:00,داده آزمایشی ساختگی برای تست تحلیل فایل بانکی
149,نگار,فلاحی,7581313034,شماره کارت,6276485204468596,15000000,TRX140500149,2026-06-03 00:00:00,داده آزمایشی ساختگی برای تست تحلیل فایل بانکی
150,علی,نوری,5889818864,شماره کارت,5892109163160475,12000000,TRX140500150,2026-06-24 00:00:00,داده آزمایشی ساختگی برای تست تحلیل فایل بانکی
151,محمد,رحیمی,8647811046,شماره کارت,5022295669119199,40000000,TRX140500151,2026-06-13 00:00:00,داده آزمایشی ساختگی برای تست تحلیل فایل بانکی
152,شادی,احمدی,4814055341,شماره حساب,0832822551269116,12000000,TRX140500152,2026-06-10 00:00:00,داده آزمایشی ساختگی برای تست تحلیل فایل بانکی
153,شادی,رضایی,0073953288,شماره کارت,6037706159166848,25000000,TRX140500153,2026-06-05 00:00:00,داده آزمایشی ساختگی برای تست تحلیل فایل بانکی
154,بهاره,مرادی,7245316805,شماره کارت,5892103199957319,5000000,TRX140500154,2026-06-03 00:00:00,داده آزمایشی ساختگی برای تست تحلیل فایل بانکی
155,روناک,زارعی,9237633882,شماره کارت,6219865183075449,15000000,TRX140500155,2026-06-09 00:00:00,داده آزمایشی ساختگی برای تست تحلیل فایل بانکی
156,بهاره,عباسی,0391639706,شماره کارت,5892109102431383,12000000,TRX140500156,2026-06-06 00:00:00,داده آزمایشی ساختگی برای تست تحلیل فایل بانکی
157,لیلا,جعفری,3668066248,شماره حساب,8243747179037556,100000000,TRX140500157,2026-06-20 00:00:00,داده آزمایشی ساختگی برای تست تحلیل فایل بانکی
158,فاطمه,زارعی,2716081522,شماره کارت,5892108964121132,80000000,TRX140500158,2026-06-16 00:00:00,داده آزمایشی ساختگی برای تست تحلیل فایل بانکی
159,مریم,احمدی,5663843094,شماره حساب,71754162098626,10000000,TRX140500159,2026-06-04 00:00:00,داده آزمایشی ساختگی برای تست تحلیل فایل بانکی
160,نرگس,بهرامی,2240674075,شماره کارت,5022291565313234,30000000,TRX140500160,2026-06-24 00:00:00,داده آزمایشی ساختگی برای تست تحلیل فایل بانکی
161,نوید,حسینی,7919769906,شماره کارت,6277605187914220,75000000,TRX140500161,2026-06-08 00:00:00,داده آزمایشی ساختگی برای تست تحلیل فایل بانکی
162,فاطمه,نجفی,5894023653,شماره حساب,959222847882155225,10000000,TRX140500162,2026-06-26 00:00:00,داده آزمایشی ساختگی برای تست تحلیل فایل بانکی
